Volcanic forcing (absolute W/m2) 
 year   GRA       CEA
1898    0.0000   -0.1383
1899    0.0000   -0.0408
1900    0.0000   -0.0091
1901    0.0000   -0.0012
1902    0.0000   -0.0835
1903   -0.0843   -1.3841
1904   -0.4355   -0.7601
1905   -0.0891   -0.2797
1906   -0.0155   -0.1029
1907   -0.0026   -0.2535
1908   -0.0004   -0.1261
1909    0.0000   -0.0281
1910    0.0000   -0.0052
1911    0.0000    0.0000
1912   -0.5338   -0.6186
1913   -0.6022   -0.5731
1914   -0.1197   -0.1274
1915   -0.0208   -0.0266
1916   -0.0035   -0.1709
1917   -0.0004   -0.0514
1918    0.0000   -0.0114
1919    0.0000   -0.0015
1920    0.0000    0.0000
1921    0.0000   -0.1029
1922    0.0000   -0.0290
1923    0.0000   -0.0065
1924    0.0000   -0.2283
1925    0.0000   -0.0971
1926   -0.5142   -0.0217
1927   -0.2111   -0.0036
1928   -0.0392    0.0000
1929   -0.0067   -0.0492
1930   -0.0011   -0.0407
1931   -0.0000   -0.1227
1932    0.0000   -0.1949
1933    0.0000   -0.0531
1934    0.0000   -0.0113
1935    0.0000   -0.0012
1936    0.0000    0.0000
1937    0.0000    0.0000
1938    0.0000    0.0000
1939    0.0000    0.0000
1940    0.0000    0.0000
1941    0.0000    0.0000
1942    0.0000    0.0000
1943    0.0000    0.0000
1944    0.0000    0.0000
1945    0.0000    0.0000
1946    0.0000    0.0000
1947    0.0000    0.0000
1948    0.0000    0.0000
1949    0.0000    0.0000
1950    0.0000    0.0000
1951    0.0000    0.0000
1952    0.0000    0.0000
1953    0.0000    0.0000
1954    0.0000    0.0000
1955    0.0000    0.0000
1956    0.0000   -0.0960
1957    0.0000   -0.0264
1958    0.0000   -0.0059
1959    0.0000   -0.0007
1960    0.0000    0.0000
1961    0.0000    0.0000
1962    0.0000    0.0000
1963    0.0000   -0.7997
1964   -1.8738   -1.0989
1965   -0.7053   -0.6029
1966   -0.1279   -0.2055
1967   -0.0218   -0.0689
1968   -0.0036   -0.0112
1969   -0.0001    0.0000
1970    0.0000    0.0000
1971    0.0000    0.0000
1972    0.0000    0.0000
1973    0.0000    0.0000
1974    0.0000   -0.0046
1975    0.0000   -0.4888
1976    0.0000   -0.2996
1977   -0.3865   -0.1102
1978   -0.1341   -0.0407
1979   -0.0247   -0.0125
1980   -0.0042    0.0000
1981   -0.0007    0.0000
1982    0.0000   -0.9522
1983    0.0000   -1.5763
1984    0.0000   -0.5913
1985    0.0000   -0.2175
1986    0.0000   -0.0800
1987    0.0000   -0.0074
1988    0.0000    0.0000
1989    0.0000    0.0000
1990    0.0000    0.0000
1991    0.0000   -0.7406
1992   -2.4815   -2.6227
1993   -1.4524   -1.0675
1994   -0.2706   -0.3927
1995   -0.0463   -0.1443
1996   -0.0078   -0.0271
1997   -0.0006    0.0000
1998    0.0000    0.0000
1999    0.0000    0.0000
2000    0.0000    0.0000
